transaction_amount,user_avg_amount,new_recipient,transaction_frequency,transaction_hour,fraud_label
7530.89,7999.02,1,4,13,0
3909.38,2249.61,1,3,18,0
6718.35,6501.42,0,1,18,0
14230.9,14418.84,0,5,13,0
88760.9,7861.68,1,1,19,0
1553.71,4252.15,1,6,7,0
3573.61,3010.74,0,2,11,0
135279.4,15295.91,0,7,11,1
42973.12,3702.68,0,4,21,0
13105.06,10309.44,0,2,10,0
26211.54,15344.65,1,7,16,0
2152.72,2627.74,1,6,17,1
9275.01,16691.34,0,5,10,0
2977.25,2497.65,1,1,20,0
5477.36,9653.62,1,1,1,0
7450.62,14469.6,0,2,15,0
18485.74,14194.12,1,1,14,0
8188.73,12536.43,1,4,11,0
111966.83,8838.6,0,1,17,1
641.67,1702.24,0,2,16,0
2788.95,7847.28,0,2,11,0
17698.59,12392.9,0,3,8,0
3030.8,8863.66,0,5,22,0
1515.89,4478.63,1,3,21,0
3744.16,17222.84,0,10,14,0
9470.68,6367.82,0,2,12,0
6369.55,4838.09,0,1,17,0
10949.19,12360.97,0,2,16,0
15223.92,14539.54,0,2,16,0
3121.07,15406.26,0,2,17,0
2309.98,3575.82,0,5,6,0
14390.26,14163.87,0,1,2,0
1548.27,2099.04,0,10,9,0
15993.68,17180.61,0,7,11,0
40232.78,15169.8,0,4,9,0
12859.14,11404.31,1,2,21,0
10040.15,16660.58,1,3,10,0
6770.17,8147.51,0,4,17,0
3293.2,14628.5,0,4,9,0
2128.06,3470.64,0,7,13,0
70796.42,16401.9,1,5,1,1
4484.06,6974.91,1,2,19,0
241003.22,16831.05,1,4,17,1
123398.77,16136.14,0,14,7,1
5000.49,5829.8,0,4,17,0
5383.21,15571.62,1,4,22,0
20675.06,1856.6,1,8,15,1
1577.88,15074.15,0,2,14,0
3438.94,17194.71,1,5,19,0
249.23,4961.05,0,6,4,0
1092.43,7454.77,0,2,18,0
24620.28,14848.0,0,3,20,0
14279.45,10548.56,0,2,18,0
17859.38,13431.97,0,5,12,0
14895.55,15117.06,0,1,17,0
16837.85,15061.03,0,2,18,0
4647.06,6017.89,1,2,14,0
6010.24,8352.06,0,8,20,0
1478.23,1550.16,1,2,21,0
9494.61,5047.79,0,1,15,0
31876.48,6683.56,1,3,21,0
16348.89,15813.6,1,1,11,0
109740.99,8246.48,1,1,18,0
55831.96,13961.33,1,4,11,0
60547.47,15309.68,0,10,23,1
9069.09,8180.11,1,1,13,0
7018.79,13307.25,0,3,1,0
8519.39,4543.78,1,4,6,1
29273.29,7016.38,1,2,17,0
32486.02,6804.68,0,2,14,0
2774.52,2274.73,1,8,5,1
12043.65,15980.97,0,9,4,0
16156.55,14289.15,0,6,8,0
3225.0,4331.37,1,5,7,0
16102.75,15005.47,0,13,19,0
68140.59,13634.85,0,3,1,0
7288.06,9856.81,1,1,18,0
10647.3,11887.02,0,1,1,0
8179.94,16718.9,0,4,22,0
4025.06,3381.32,0,9,21,0
161054.99,12220.93,1,9,12,1
778.65,9055.31,0,1,16,0
57611.43,14641.7,0,3,14,0
9367.87,12270.99,0,3,5,0
4933.61,7320.29,0,5,7,0
14578.15,12368.65,0,3,10,0
7317.22,10746.17,0,4,11,0
15563.16,17558.72,0,1,9,0
2346.81,5460.99,0,1,20,0
1840.23,5065.63,0,5,10,0
21881.55,13270.16,0,5,18,0
137423.13,16078.27,0,4,11,0
4501.38,16234.02,1,2,21,0
11620.36,12322.38,0,8,22,0
16696.38,16815.94,0,5,21,0
10838.48,11758.26,1,5,20,0
2128.74,5542.18,0,4,11,0
41986.59,9214.6,0,4,21,0
7161.19,13803.19,0,3,15,0
26863.05,8744.08,0,3,9,0
3701.24,14935.01,0,4,12,0
61145.62,5538.62,0,1,19,0
18285.3,17155.91,1,3,22,0
15295.62,10845.59,1,6,23,0
9482.11,9434.98,0,13,8,0
207102.86,16667.55,0,4,20,1
9717.62,9395.31,0,5,20,0
3169.05,6677.71,0,4,15,0
21606.61,12356.49,0,4,19,0
269.57,4968.18,0,1,12,0
7915.73,4796.62,0,2,10,0
22354.92,15285.97,0,3,4,0
4134.94,1646.58,0,3,22,0
10978.72,7893.76,1,7,5,1
16190.39,16078.24,0,6,10,0
14008.26,12578.69,0,1,7,0
7678.38,6327.81,1,6,19,1
3074.4,4821.67,1,4,2,1
5721.97,1561.47,0,3,16,0
113354.76,11931.65,0,10,1,1
16092.48,4731.33,1,6,10,0
14818.03,11001.06,0,1,12,0
78686.67,9084.29,0,2,12,1
9116.04,5817.49,1,3,5,0
58014.82,4336.21,0,3,19,1
16214.28,14600.48,0,1,1,0
6589.72,4045.02,0,3,2,0
43272.8,7254.21,0,3,9,0
7855.22,7826.92,0,3,15,0
9058.32,9346.76,1,5,0,0
166110.37,17414.56,0,5,16,0
10842.91,2770.3,0,2,22,0
14699.8,13855.39,0,2,8,0
47460.24,17484.41,0,2,17,0
2162.14,14993.01,1,4,3,0
17075.26,14128.71,0,1,12,0
14249.51,9700.16,0,4,8,0
890.18,16710.57,0,1,17,0
3512.7,2739.8,0,6,15,0
27910.32,13207.71,0,1,4,0
11481.46,12253.14,0,5,13,0
10073.9,7952.14,0,3,15,0
3056.5,11136.8,0,1,9,0
17579.61,14218.02,1,1,14,0
7464.03,12749.98,0,5,16,0
11168.14,9760.9,0,2,22,0
10997.14,15759.94,1,3,18,0
3910.51,15252.07,0,1,3,0
7061.7,6596.67,0,2,21,0
6770.08,6321.88,0,15,12,0
948.27,5831.59,0,4,22,0
14152.16,17992.05,1,2,3,0
4594.68,4160.98,0,3,7,0
12242.37,15355.27,1,3,1,0
10471.68,3051.35,0,4,11,0
1539.14,13481.27,1,3,15,0
797.71,3738.09,1,5,20,0
6369.62,4152.68,1,3,16,1
27771.54,10751.07,1,3,13,1
1573.2,9961.95,1,2,20,0
14271.21,8676.73,0,3,9,0
17953.36,14028.64,0,3,19,0
34433.56,16520.39,1,2,6,1
77915.18,9444.61,1,1,16,0
8019.74,8553.95,0,3,22,0
9990.7,13326.83,0,2,19,0
3223.79,14103.43,1,10,4,0
8102.78,14300.55,0,5,8,0
154168.91,11720.37,0,6,14,1
3503.17,4915.84,0,2,10,0
9300.64,6621.63,0,2,18,0
2084.17,7718.43,0,2,14,0
27357.82,3585.79,0,7,16,1
19884.01,16674.06,1,1,17,0
37109.47,7426.54,1,7,4,1
4477.01,3454.24,0,3,2,0
21355.11,8345.06,1,7,18,1
1282.99,1728.14,0,1,16,0
21458.49,16332.21,1,1,11,0
1400.03,5858.32,1,3,16,1
14160.02,8678.95,0,3,10,0
2885.27,3593.53,1,6,10,1
2754.27,4280.85,1,2,21,0
11609.45,12389.2,0,5,8,0
2648.09,3278.93,1,4,13,0
18247.15,11696.77,0,3,1,0
11943.93,9638.54,1,10,15,1
12523.09,6834.16,0,3,11,0
2192.42,3306.04,1,2,12,0
